system_word,player_word,outcome
Drought,Boulder,0
Reforestation,Therapy,1
Planetary Defense Shield,Bear Trap,0
Dragon,War,0
Steam,Sonic Boom,1
Sonic Boom,Fire,0
Acid,Orbital Laser,0
Hurricane,Cataclysm Containment Field,0
Robot,Fire,0
Fire Extinguisher,Freeze,0
Encryption,Gust,1
Therapy,Encryption,0
AI Kill Switch,Explosion,1
Viral Meme,Evacuation,1
Absorption,Steam,0
Cataclysm Containment Field,Kevlar Vest,1
Proof,Water,1
War,Proof,1
Kevlar Vest,Resilience,1
Antimatter Cannon,Avalanche,0
Bulldozer,Reinforced Steel Door,1
Life Raft,Vacuum,1
Neutralizing Agent,Seismic Dampener,0
Antimatter Cannon,Robot,0
Bulldozer,Explosion,0
Vacation,Water,1
Gust,Planetary Evacuation Fleet,0
Planetary Defense Shield,Sonic Boom,0
Signal Jammer,Dragon,0
Absorption,Reality Resynchronizer,1
Tsunami,Avalanche,1
Life Raft,Absorption,0
Kevlar Vest,Persistence,0
Glacier,Explosion,0
Nanobot Swarm,Tsunami,0
Vacuum,Sonic Boom,0
Fire Extinguisher,Steam,0
Sonic Boom,Reforestation,0
Viral Meme,Therapy,1
Grizzly,Love,1
Fire Extinguisher,Therapy,0
Life Raft,Confidence,1
Sunshine,Terraforming Device,0
Persistence,Diamond Cage,0
Signal Jammer,Kevlar Vest,1
Planetary Evacuation Fleet,Water,1
Diamond Cage,Steam,1
Sunshine,Time,1
Life Raft,Robot,1
Seismic Dampener,Fire Blanket,0
Dam,Sunshine,0
Jackhammer,Absorption,0
Laser,Disease,0
Sonic Boom,Life Raft,0
Boulder,Sunshine,1
Oil,Persistence,0
Anti-Virus Nanocloud,Avalanche,0
Planetary Evacuation Fleet,Singularity Stabilizer,1
Sunshine,Sandpaper,1
Terraforming Device,Reforestation,0
Vacation,Super Glue,0
Anti-Virus Nanocloud,Innovation,1
Jackhammer,Glacier,1
Planetary Evacuation Fleet,Drought,0
Bulldozer,Diamond Cage,1
Absorption,Avalanche,0
Vacuum,Orbital Laser,0
Love,Diamond Cage,1
Sunshine,Time,1
Molotov Cocktail,Tsunami,1
Resilience,Sunshine,1
Hurricane,Innovation,1
Evacuation,Dam,1
AI Kill Switch,Bear Trap,0
Glacier,Absorption,0
Nanobot Swarm,Absorption,0
Propaganda,War,0
AI Kill Switch,Singularity Stabilizer,1
Love,Vacation,0
Sunshine,Robot,0
AI Kill Switch,Water,0
Disease,Singularity Stabilizer,0
Lava,Drill,0
Explosion,Super Glue,1
Reforestation,Nanobot Swarm,1
Explosion,AI Kill Switch,0
Fire Extinguisher,Viral Meme,0
Resilience,Bear Trap,1
Nanobot Swarm,Time,0
Fire Extinguisher,Anti-Virus Nanocloud,0
Solar Deflection Array,Sunshine,0
Robot,Sandpaper,0
Absorption,Glacier,0
Innovation,Cataclysm Containment Field,1
Grizzly,Hurricane,0
Reinforced Steel Door,Signal Jammer,1
Confidence,Bear Trap,1
Dragon,Earthquake,0
Therapy,Jackhammer,0
Life Raft,Confidence,1
H-bomb,Mutation,1
Anti-Virus Nanocloud,Disease,1
Resilience,Nanobot Swarm,0
Drill,Dynamite,0
Grizzly,Life Raft,0
Dam,Neutralizing Agent,0
Confidence,Lightning,1
Acid,Life Raft,1
Vacation,Planetary Evacuation Fleet,0
Seismic Dampener,Mutation,1
Dam,Confidence,1
Antimatter Cannon,Drought,1
Persistence,Planetary Evacuation Fleet,0
Lightning,Bulldozer,0
Vacuum,Singularity Stabilizer,0
Tsunami,Freeze,0
Neutralizing Agent,Absorption,1
Fire Blanket,Water,0
Laser,Persistence,0
Acid,Dynamite,0
Freeze,Dynamite,0
Sunshine,Sonic Boom,0
Nanobot Swarm,Orbital Laser,0
Singularity Stabilizer,Bear Trap,0
Molotov Cocktail,Jackhammer,0
Confidence,Time,1
Lightning,Flood,1
Earthquake,Oil,0
Dam,Flood,0
Oil,Anti-Virus Nanocloud,1
Boulder,Earthquake,0
